Institution,Year,Count
Abbe Museum,1994,1
Adams State Univ.,2017,1
Alabama Dept of Archives & History,2022,1
Alabama Dept of Transportation,2017,5
Alaska Office of History and Archeology,2007,4
Alaska State Museum,1997,2
Albuquerque Museum,2018,2
Allen County Museum,2017,2
Alma College,2005,1
Alutiiq Museum and Archaeological Repository,2007,13
American Museum of Natural History,1999,68
American University,2021,1
Amherst College,2009,5
Anchorage Museum at Rasmuson Center,1996,3
Animas Museum,2018,3
Anniston Museum of Natural History,2018,2
Appalachian State Univ.,2021,1
Arizona Museum of Natural History,2020,4
Arizona State Land Department,2006,1
Arizona State Parks and Trails,1998,2
Arizona State Univ.,2009,2
Arkansas Archeological Survey,2000,21
Arkansas Dept. of Parks and Tourism,2003,1
Arkansas Highway and Transportation Department,2008,7
Arkansas State Univ. Museum,2013,2
Artesia Historical Museum and Art Center,2019,1
Athens County Historical Society and Museum,2010,1
Auburn Univ.,2020,2
Augusta State Univ.,2007,2
Autry Museum of the American West (formerly Southwest Museum of the American Indian),1999,12
Ball State Univ.,2014,3
Bay County Historical Society,1999,1
Baylor Univ.,2019,8
Beloit College,2011,22
Berkshire Museum,2018,2
Bernice P. Bishop Museum,1994,26
Berrien County Sheriff’s Office,2016,1
Bess Bower Dunn Museum,2016,4
Besser Museum for Northeast Michigan,2005,1
Bishop Museum of Science and Nature,2020,1
Boston University,2021,2
Bowers Museum,2014,1
Brigham Young Univ.,2008,4
Brooklyn Children's Museum,2022,1
Brooklyn Museum,2018,2
Broome County Historical Society,2023,1
Brown Univ.,2000,3
Bruce Museum,2020,4
Bryn Mawr College,2022,1
Buffalo Bill Center of the West,1997,2
Buffalo Bill Museum and Grave,2015,1
Cal. State,1996,23
California Academy of Sciences,1996,1
California Dept. of Parks and Recreation,1992,26
California Dept. of Transportation,2000,14
Carlsbad Museum,1998,1
Carnegie Museum of Natural History,1999,7
Carter County Museum,2018,2
Case Western Reserve University,2021,1
Catalina Island Museum Society,2016,2
Catholic University of America,2004,1
Central Methodist University,2022,1
Central Michigan Univ.,2010,3
Central Washington Univ.,1997,9
Central Washington Univ. + Univ. of Washington,1997,6
Chadron State College,2001,1
Charles Whipple Green Museum,1999,1
Charleston Museum,2020,2
Chelan County Public Utilities District,2009,1
Chemung Valley Historical Society,2009,1
Children's Museum of Oak Ridge,2018,1
Cincinnati Museum Center,2018,1
City of Larsen Bay,2008,1
City of Saugatuck,2022,1
City of Traverse City,2019,2
Clarke Memorial Museum,1997,1
Coachella Valley History Museum,2013,1
Cochise College,2019,1
Coe College,2022,1
Colgate University,2003,5
College of Southern Idaho,2012,1
College of William and Mary,2022,2
Colorado Archaeological Society,2007,1
Colorado Bureau of Investigation,2021,1
Colorado College,2003,11
Colorado Springs Pioneers Museum,1996,1
Colorado State Univ.,2013,4
Columbia University,2013,3
Columbus Museum,2002,1
Columbus State University,2020,1
Cornell Univ.,2022,1
Cosumnes River College,2007,1
County of Nacogdoches,2009,1
Cranbrook Institute of Science,2010,1
Culver-Stockton College,2021,1
Dallas Water Utilities,2013,2
Dana Adobe Nipomo Amigos,2017,1
Dartmouth College,1995,6
Dayton Museum of Natural History,2000,1
Delta County Historical Society Museum,1999,1
Denver Art Museum,2003,2
Denver Museum of Nature and Science,2004,30
Detroit Institute of Arts,2009,1
Diablo Valley College,2021,3
Discovery Place,2018,1
Douglas County Public Utility District,2007,1
Earlham College,1995,1
East Carolina Univ.,2006,1
Eastern Washington University,2022,3
Ecotarium,2021,1
Emory Univ.,2001,1
Evanston History Center,2016,1
Fernbank Museum of Natural History,2009,1
Field Museum,1995,38
Filson Historical Society,2019,2
Florence Indian Mound Museum,2022,1
Florida Atlantic Univ.,2022,1
Florida Dept. of State,2011,10
Florida State Univ.,2021,2
Fort Collins Museum of Discovery,2002,4
Fort Hays State University,2018,1
