Institution,MNI,AFO
Indiana University,4838,7613
Ball State Univ.,252,3948
Indiana State Univ.,232,92
Earlham College,89,0
Indiana State Museum and Historic Sites Corporation,77,42
Univ. of Indianapolis,46,2
Purdue University,42,8
The History Museum,28,0
Tippecanoe County Historical Association,16,0
Henry County Historical Society,15,0
New Harmony Workingmen's Institute,14,0
Univ. of Notre Dame,6,0
U.S. Dept. of Agriculture,5,0
Univ. of Southern Indiana,3,0
Goshen College,2,0
Washington County Historical Society,2,0
Miami County Museum,1,0
Sullivan County Historical Society,1,0
